#YY  MM DD hh mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
#yr  mo dy hr mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,nmi,hPa,ft
2019 03 29 06 30,MM,MM,MM,MM,MM,MM,MM,1014.8,22.6,25.3,MM,MM,MM,MM
2019 03 29 06 36,MM,MM,MM,MM,MM,MM,MM,1014.9,22.5,25.3,MM,MM,MM,MM
2019 03 29 06 42,360,5.1,6.2,MM,MM,MM,MM,1014.9,22.4,25.3,MM,MM,MM,MM
2019 03 29 06 48,350,5.1,5.7,MM,MM,MM,MM,1014.8,22.3,25.3,MM,MM,MM,MM
2019 03 29 06 54,360,4.6,5.7,MM,MM,MM,MM,1014.8,22.5,25.3,MM,MM,MM,MM
2019 03 29 07 00,350,5.1,6.2,MM,MM,MM,MM,1014.9,22.4,25.3,MM,MM,1.9,MM
2019 03 29 07 06,340,5.1,6.2,MM,MM,MM,MM,1015,22.4,25.3,MM,MM,MM,MM
2019 03 29 07 12,350,4.6,5.7,MM,MM,MM,MM,1014.9,22.4,25.3,MM,MM,MM,MM
2019 03 29 07 18,350,5.1,6.2,MM,MM,MM,MM,1015,22.4,25.3,MM,MM,MM,MM
2019 03 29 07 24,350,5.1,6.2,MM,MM,MM,MM,1015.1,22.5,25.3,MM,MM,MM,MM
2019 03 29 07 30,350,5.7,6.2,MM,MM,MM,MM,1015.2,22.4,25.3,MM,MM,MM,MM
2019 03 29 07 36,340,5.7,6.7,MM,MM,MM,MM,1015.2,22.5,25.3,MM,MM,MM,MM
2019 03 29 07 42,350,4.6,6.2,MM,MM,MM,MM,1015.3,22.7,25.3,MM,MM,MM,MM
2019 03 29 07 48,340,5.7,6.7,MM,MM,MM,MM,1015.3,22.8,25.3,MM,MM,MM,MM
2019 03 29 07 54,350,5.7,6.7,MM,MM,MM,MM,1015.4,22.5,25.3,MM,MM,MM,MM
2019 03 29 08 00,340,6.2,7.2,MM,MM,MM,MM,1015.4,22.6,25.3,MM,MM,1.9,MM
2019 03 29 08 06,360,5.7,6.7,MM,MM,MM,MM,1015.4,22.5,25.3,MM,MM,MM,MM
2019 03 29 08 12,350,6.7,7.7,MM,MM,MM,MM,1015.5,22.2,25.3,MM,MM,MM,MM
2019 03 29 08 18,350,6.7,7.2,MM,MM,MM,MM,1015.6,22,25.3,MM,MM,MM,MM
2019 03 29 08 24,350,6.2,6.7,MM,MM,MM,MM,1015.6,22,25.3,MM,MM,MM,MM
2019 03 29 08 30,350,5.1,6.7,MM,MM,MM,MM,1015.5,22.3,25.3,MM,MM,MM,MM
2019 03 29 08 36,350,6.2,6.7,MM,MM,MM,MM,1015.5,22.1,25.3,MM,MM,MM,MM
2019 03 29 08 42,360,5.1,6.7,MM,MM,MM,MM,1015.5,22.2,25.2,MM,MM,MM,MM
2019 03 29 08 48,360,5.1,6.2,MM,MM,MM,MM,1015.4,22.2,25.2,MM,MM,MM,MM
2019 03 29 08 54,10,5.1,6.2,MM,MM,MM,MM,1015.4,22,25.2,MM,MM,MM,MM
2019 03 29 09 00,360,4.1,6.2,MM,MM,MM,MM,1015.3,22.2,25.2,MM,MM,0.9,MM
2019 03 29 09 06,360,4.1,5.7,MM,MM,MM,MM,1015.3,22,25.2,MM,MM,MM,MM
2019 03 29 09 12,340,5.1,6.2,MM,MM,MM,MM,1015.3,21.9,25.2,MM,MM,MM,MM
2019 03 29 09 18,350,4.6,5.7,MM,MM,MM,MM,1015.3,21.7,25.2,MM,MM,MM,MM
2019 03 29 09 24,350,4.6,5.7,MM,MM,MM,MM,1015.3,21.7,25.2,MM,MM,MM,MM
2019 03 29 09 30,340,4.6,5.1,MM,MM,MM,MM,1015.2,21.9,25.2,MM,MM,MM,MM
2019 03 29 09 36,350,3.6,5.1,MM,MM,MM,MM,1015.2,21.9,25.2,MM,MM,MM,MM
2019 03 29 09 42,340,3.6,4.1,MM,MM,MM,MM,1015.2,21.6,25.2,MM,MM,MM,MM
2019 03 29 09 48,340,3.6,4.1,MM,MM,MM,MM,1015.1,21.8,25.2,MM,MM,MM,MM
2019 03 29 09 54,350,2.6,3.6,MM,MM,MM,MM,1015.1,21.8,25.2,MM,MM,MM,MM
2019 03 29 10 00,330,3.1,4.1,MM,MM,MM,MM,1015,21.9,25.2,MM,MM,0,MM
2019 03 29 10 06,340,3.1,4.1,MM,MM,MM,MM,1015,21.9,25.2,MM,MM,MM,MM
2019 03 29 10 12,340,3.1,4.1,MM,MM,MM,MM,1015,22,25.2,MM,MM,MM,MM
2019 03 29 10 18,340,2.6,3.6,MM,MM,MM,MM,1015,22,25.2,MM,MM,MM,MM
2019 03 29 10 24,300,4.6,5.7,MM,MM,MM,MM,1015,21.9,25.2,MM,MM,MM,MM
2019 03 29 10 30,310,4.1,5.1,MM,MM,MM,MM,1014.9,21.8,25.1,MM,MM,MM,MM
2019 03 29 10 36,300,3.6,5.1,MM,MM,MM,MM,1015,21.5,25.1,MM,MM,MM,MM
2019 03 29 10 42,300,3.1,4.1,MM,MM,MM,MM,1014.8,21.3,25.1,MM,MM,MM,MM
2019 03 29 10 48,310,2.6,3.1,MM,MM,MM,MM,1014.8,21.3,25.1,MM,MM,MM,MM
2019 03 29 10 54,300,2.6,3.6,MM,MM,MM,MM,1014.8,21.4,25.1,MM,MM,MM,MM
2019 03 29 11 00,300,2.1,3.1,MM,MM,MM,MM,1014.8,21.3,25.1,MM,MM,-0.6,MM
2019 03 29 11 06,310,3.6,4.6,MM,MM,MM,MM,1014.8,21.2,25.1,MM,MM,MM,MM
2019 03 29 11 12,340,3.1,3.6,MM,MM,MM,MM,1014.7,21.2,25.1,MM,MM,MM,MM
2019 03 29 11 18,340,3.1,3.6,MM,MM,MM,MM,1014.7,21.1,25.1,MM,MM,MM,MM
2019 03 29 11 24,310,2.6,4.6,MM,MM,MM,MM,1014.6,21.3,25.1,MM,MM,MM,MM
2019 03 29 11 30,320,1.5,4.6,MM,MM,MM,MM,1014.6,20.9,25.1,MM,MM,MM,MM
2019 03 29 11 36,350,2.1,3.1,MM,MM,MM,MM,1014.6,21.1,25.1,MM,MM,MM,MM
2019 03 29 11 42,310,2.6,4.6,MM,MM,MM,MM,1014.5,21.1,25.1,MM,MM,MM,MM
2019 03 29 11 48,350,5.1,6.2,MM,MM,MM,MM,1014.5,21.3,25.1,MM,MM,MM,MM
2019 03 29 11 54,10,2.1,4.6,MM,MM,MM,MM,1014.4,21.3,25.1,MM,MM,MM,MM
2019 03 29 12 00,260,0.5,3.6,MM,MM,MM,MM,1014.4,21,25.1,MM,MM,-0.9,MM
2019 03 29 12 06,330,2.1,2.6,MM,MM,MM,MM,1014.3,20.9,25.1,MM,MM,MM,MM
2019 03 29 12 12,350,4.6,5.1,MM,MM,MM,MM,1014.3,21.1,25.1,MM,MM,MM,MM
2019 03 29 12 18,360,3.1,4.6,MM,MM,MM,MM,1014.2,21.3,25.1,MM,MM,MM,MM
2019 03 29 12 24,360,4.1,5.1,MM,MM,MM,MM,1014.1,21.8,25.1,MM,MM,MM,MM
2019 03 29 12 30,10,4.1,5.1,MM,MM,MM,MM,1014.1,21.8,25.1,MM,MM,MM,MM
2019 03 29 12 36,10,4.1,4.6,MM,MM,MM,MM,1014.1,21.8,25.1,MM,MM,MM,MM
2019 03 29 12 42,MM,MM,MM,MM,MM,MM,MM,1014.1,21.8,25.1,MM,MM,MM,MM
2019 03 29 12 48,MM,MM,MM,MM,MM,MM,MM,1014,21.8,25.1,MM,MM,MM,MM
2019 03 29 12 54,MM,MM,MM,MM,MM,MM,MM,1014,21.9,25.1,MM,MM,MM,MM
2019 03 29 13 00,MM,MM,MM,MM,MM,MM,MM,1014,21.7,25.1,MM,MM,-1,MM
2019 03 29 13 06,MM,MM,MM,MM,MM,MM,MM,1014,22,25.1,MM,MM,MM,MM
2019 03 29 13 12,MM,MM,MM,MM,MM,MM,MM,1014,22,25.1,MM,MM,MM,MM
2019 03 29 13 18,MM,MM,MM,MM,MM,MM,MM,1013.9,22,25.1,MM,MM,MM,MM
2019 03 29 13 24,MM,MM,MM,MM,MM,MM,MM,1013.9,21.9,25.1,MM,MM,MM,MM
2019 03 29 13 30,MM,MM,MM,MM,MM,MM,MM,1014,21.9,25.1,MM,MM,MM,MM
2019 03 29 13 36,MM,MM,MM,MM,MM,MM,MM,1014,21.5,25.1,MM,MM,MM,MM
2019 03 29 13 42,MM,MM,MM,MM,MM,MM,MM,1014,21.5,25.1,MM,MM,MM,MM
2019 03 29 13 48,MM,MM,MM,MM,MM,MM,MM,1014,21.4,25.1,MM,MM,MM,MM
2019 03 29 13 54,MM,MM,MM,MM,MM,MM,MM,1013.9,21.6,25.1,MM,MM,MM,MM
2019 03 29 14 00,MM,MM,MM,MM,MM,MM,MM,1013.9,21.4,25.1,MM,MM,-0.9,MM
2019 03 29 14 06,MM,MM,MM,MM,MM,MM,MM,1014,20.9,25.1,MM,MM,MM,MM
2019 03 29 14 12,MM,MM,MM,MM,MM,MM,MM,1014,20.8,25.1,MM,MM,MM,MM
2019 03 29 14 18,MM,MM,MM,MM,MM,MM,MM,1014,20.9,25.1,MM,MM,MM,MM
2019 03 29 14 24,MM,MM,MM,MM,MM,MM,MM,1014,20.9,25.1,MM,MM,MM,MM
2019 03 29 14 30,MM,MM,MM,MM,MM,MM,MM,1014.1,20.8,25.1,MM,MM,MM,MM
2019 03 29 14 36,MM,MM,MM,MM,MM,MM,MM,1014.2,20.7,25.1,MM,MM,MM,MM
2019 03 29 14 42,MM,MM,MM,MM,MM,MM,MM,1014.2,20.5,25.1,MM,MM,MM,MM
2019 03 29 14 48,MM,MM,MM,MM,MM,MM,MM,1014.2,20.4,25.1,MM,MM,MM,MM
2019 03 29 14 54,MM,MM,MM,MM,MM,MM,MM,1014.2,20.4,25.1,MM,MM,MM,MM
2019 03 29 15 00,MM,MM,MM,MM,MM,MM,MM,1014.2,20.4,25.1,MM,MM,0,MM
2019 03 29 15 06,MM,MM,MM,MM,MM,MM,MM,1014.3,20.3,25.1,MM,MM,MM,MM
2019 03 29 15 12,MM,MM,MM,MM,MM,MM,MM,1014.4,20.3,25.1,MM,MM,MM,MM
2019 03 29 15 18,MM,MM,MM,MM,MM,MM,MM,1014.5,20.4,25.1,MM,MM,MM,MM
2019 03 29 15 24,MM,MM,MM,MM,MM,MM,MM,1014.5,20.3,25.1,MM,MM,MM,MM
2019 03 29 15 30,MM,MM,MM,MM,MM,MM,MM,1014.6,20.4,25.1,MM,MM,MM,MM
2019 03 29 15 36,MM,MM,MM,MM,MM,MM,MM,1014.7,20.4,25.1,MM,MM,MM,MM
2019 03 29 15 42,MM,MM,MM,MM,MM,MM,MM,1014.8,20.3,25.1,MM,MM,MM,MM
2019 03 29 15 48,MM,MM,MM,MM,MM,MM,MM,1014.8,20.2,25.1,MM,MM,MM,MM
2019 03 29 15 54,MM,MM,MM,MM,MM,MM,MM,1014.8,20.2,25.1,MM,MM,MM,MM
2019 03 29 16 00,MM,MM,MM,MM,MM,MM,MM,1015,20.2,25.1,MM,MM,1,MM
2019 03 29 16 06,MM,MM,MM,MM,MM,MM,MM,1015,20.2,25.1,MM,MM,MM,MM
2019 03 29 16 12,MM,MM,MM,MM,MM,MM,MM,1015.1,20.3,25.1,MM,MM,MM,MM
2019 03 29 16 18,MM,MM,MM,MM,MM,MM,MM,1015.1,20.1,25.1,MM,MM,MM,MM
2019 03 29 16 24,MM,MM,MM,MM,MM,MM,MM,1015.2,20.1,25.1,MM,MM,MM,MM
2019 03 29 16 30,MM,MM,MM,MM,MM,MM,MM,1015.3,20.1,25.1,MM,MM,MM,MM
2019 03 29 16 36,MM,MM,MM,MM,MM,MM,MM,1015.3,19.9,25.1,MM,MM,MM,MM
2019 03 29 16 42,170,2.1,2.6,MM,MM,MM,MM,1015.4,20,25.1,MM,MM,MM,MM
2019 03 29 16 48,160,1,2.6,MM,MM,MM,MM,1015.5,20,25.1,MM,MM,MM,MM
2019 03 29 16 54,160,1,2.1,MM,MM,MM,MM,1015.5,20.1,25.1,MM,MM,MM,MM
2019 03 29 17 00,150,1,2.1,MM,MM,MM,MM,1015.6,20.2,25.1,MM,MM,1.7,MM
2019 03 29 17 06,150,1,2.6,MM,MM,MM,MM,1015.6,20.2,25.1,MM,MM,MM,MM
2019 03 29 17 12,180,1,2.1,MM,MM,MM,MM,1015.7,20.1,25.1,MM,MM,MM,MM
2019 03 29 17 18,180,2.1,2.6,MM,MM,MM,MM,1015.8,20.1,25,MM,MM,MM,MM
2019 03 29 17 24,180,1,3.1,MM,MM,MM,MM,1015.9,20.1,25,MM,MM,MM,MM
2019 03 29 17 30,180,1.5,2.1,MM,MM,MM,MM,1016,20.1,25,MM,MM,MM,MM
2019 03 29 17 36,180,2.1,2.6,MM,MM,MM,MM,1016.1,20.1,25,MM,MM,MM,MM
2019 03 29 17 42,MM,MM,MM,MM,MM,MM,MM,1016.2,20.1,25,MM,MM,MM,MM
2019 03 29 17 48,MM,MM,MM,MM,MM,MM,MM,1016.3,20.1,25,MM,MM,MM,MM
2019 03 29 17 54,MM,MM,MM,MM,MM,MM,MM,1016.4,20.2,25,MM,MM,MM,MM
2019 03 29 18 00,MM,MM,MM,MM,MM,MM,MM,1016.5,20.1,25,MM,MM,2.3,MM
2019 03 29 18 06,MM,MM,MM,MM,MM,MM,MM,1016.5,20.2,25,MM,MM,MM,MM
2019 03 29 18 12,MM,MM,MM,MM,MM,MM,MM,1016.6,20.3,25,MM,MM,MM,MM
2019 03 29 18 18,MM,MM,MM,MM,MM,MM,MM,1016.7,20.3,25,MM,MM,MM,MM
2019 03 29 18 24,MM,MM,MM,MM,MM,MM,MM,1016.8,20.5,25,MM,MM,MM,MM
2019 03 29 18 30,MM,MM,MM,MM,MM,MM,MM,1017,20.7,25,MM,MM,MM,MM
2019 03 29 18 36,MM,MM,MM,MM,MM,MM,MM,1017,20.8,25,MM,MM,MM,MM
2019 03 29 18 42,170,0.5,1.5,MM,MM,MM,MM,1017,20.9,25,MM,MM,MM,MM
2019 03 29 18 48,150,1,1.5,MM,MM,MM,MM,1017.1,20.9,25,MM,MM,MM,MM
2019 03 29 18 54,MM,0,1.5,MM,MM,MM,MM,1017.2,21.1,25,MM,MM,MM,MM
2019 03 29 19 00,MM,0,0.5,MM,MM,MM,MM,1017.2,21,25,MM,MM,2.2,MM
2019 03 29 19 06,MM,0,0,MM,MM,MM,MM,1017.1,21,25,MM,MM,MM,MM
2019 03 29 19 12,MM,0,0.5,MM,MM,MM,MM,1017.2,21.2,25,MM,MM,MM,MM
2019 03 29 19 18,MM,0,0.5,MM,MM,MM,MM,1017.2,21,25,MM,MM,MM,MM
2019 03 29 19 24,MM,0,0.5,MM,MM,MM,MM,1017.2,20.7,24.9,MM,MM,MM,MM
2019 03 29 19 30,MM,0,0.5,MM,MM,MM,MM,1017.2,20.7,24.9,MM,MM,MM,MM
2019 03 29 19 36,60,1,1,MM,MM,MM,MM,1017.2,21.5,24.9,MM,MM,MM,MM
2019 03 29 19 42,60,1,2.1,MM,MM,MM,MM,1017.2,21.6,24.9,MM,MM,MM,MM
2019 03 29 19 48,50,1.5,2.1,MM,MM,MM,MM,1017.2,21.4,24.9,MM,MM,MM,MM
2019 03 29 19 54,40,2.1,2.6,MM,MM,MM,MM,1017.2,21.4,24.9,MM,MM,MM,MM
2019 03 29 20 00,70,1.5,2.6,MM,MM,MM,MM,1017.2,22.2,24.9,MM,MM,1.6,MM
2019 03 29 20 06,60,1.5,3.1,MM,MM,MM,MM,1017.2,22.3,25,MM,MM,MM,MM
2019 03 29 20 12,70,1.5,2.6,MM,MM,MM,MM,1017.1,22.3,25,MM,MM,MM,MM
2019 03 29 20 18,80,2.1,3.1,MM,MM,MM,MM,1017.1,22.5,25,MM,MM,MM,MM
2019 03 29 20 24,50,2.6,3.6,MM,MM,MM,MM,1017.1,22.7,25,MM,MM,MM,MM
2019 03 29 20 30,10,3.1,4.1,MM,MM,MM,MM,1017.1,22.3,25,MM,MM,MM,MM
2019 03 29 20 36,30,3.6,4.1,MM,MM,MM,MM,1017.1,22.2,25,MM,MM,MM,MM
2019 03 29 20 42,MM,MM,MM,MM,MM,MM,MM,1017.1,22.2,25,MM,MM,MM,MM
2019 03 29 20 48,MM,MM,MM,MM,MM,MM,MM,1017.1,22.1,25,MM,MM,MM,MM
2019 03 29 20 54,MM,MM,MM,MM,MM,MM,MM,1017,22.1,25,MM,MM,MM,MM
2019 03 29 21 00,MM,MM,MM,MM,MM,MM,MM,1017,21.9,25,MM,MM,0.5,MM
2019 03 29 21 06,MM,MM,MM,MM,MM,MM,MM,1017,22.2,25,MM,MM,MM,MM
2019 03 29 21 12,MM,MM,MM,MM,MM,MM,MM,1016.9,22.6,25,MM,MM,MM,MM
2019 03 29 21 18,MM,MM,MM,MM,MM,MM,MM,1017,22.7,25,MM,MM,MM,MM
2019 03 29 21 24,MM,MM,MM,MM,MM,MM,MM,1016.9,22.7,25,MM,MM,MM,MM
2019 03 29 21 30,MM,MM,MM,MM,MM,MM,MM,1016.8,22.6,25,MM,MM,MM,MM
2019 03 29 21 36,MM,MM,MM,MM,MM,MM,MM,1016.7,22.7,25.1,MM,MM,MM,MM
2019 03 29 21 42,350,4.1,5.7,MM,MM,MM,MM,1016.7,22.6,25.1,MM,MM,MM,MM
2019 03 29 21 48,350,4.6,6.2,MM,MM,MM,MM,1016.6,22.7,25.1,MM,MM,MM,MM
2019 03 29 21 54,350,5.1,5.7,MM,MM,MM,MM,1016.6,22.5,25.1,MM,MM,MM,MM
2019 03 29 22 00,350,5.1,6.2,MM,MM,MM,MM,1016.6,22.7,25.1,MM,MM,-0.6,MM
2019 03 29 22 06,350,4.6,5.7,MM,MM,MM,MM,1016.5,22.6,25.1,MM,MM,MM,MM
2019 03 29 22 12,350,4.6,5.7,MM,MM,MM,MM,1016.4,22.4,25.1,MM,MM,MM,MM
2019 03 29 22 18,350,4.1,5.1,MM,MM,MM,MM,1016.4,22.5,25.1,MM,MM,MM,MM
2019 03 29 22 24,350,3.6,5.1,MM,MM,MM,MM,1016.3,22.4,25.1,MM,MM,MM,MM
2019 03 29 22 30,360,3.1,4.6,MM,MM,MM,MM,1016.3,22.4,25.1,MM,MM,MM,MM
2019 03 29 22 36,350,3.1,4.1,MM,MM,MM,MM,1016.1,22.5,25.1,MM,MM,MM,MM
2019 03 29 22 42,MM,MM,MM,MM,MM,MM,MM,1016,22.6,25.1,MM,MM,MM,MM
2019 03 29 22 48,MM,MM,MM,MM,MM,MM,MM,1016,22.4,25.1,MM,MM,MM,MM
2019 03 29 22 54,MM,MM,MM,MM,MM,MM,MM,1015.9,22.3,25.1,MM,MM,MM,MM
2019 03 29 23 00,MM,MM,MM,MM,MM,MM,MM,1015.8,22.6,25.1,MM,MM,-1.4,MM
2019 03 29 23 06,MM,MM,MM,MM,MM,MM,MM,1015.8,22.6,25.1,MM,MM,MM,MM
2019 03 29 23 12,MM,MM,MM,MM,MM,MM,MM,1015.7,22.5,25.1,MM,MM,MM,MM
2019 03 29 23 18,MM,MM,MM,MM,MM,MM,MM,1015.5,22.4,25.1,MM,MM,MM,MM
2019 03 29 23 24,MM,MM,MM,MM,MM,MM,MM,1015.4,22.7,25.1,MM,MM,MM,MM
2019 03 29 23 30,MM,MM,MM,MM,MM,MM,MM,1015.3,22.5,25.1,MM,MM,MM,MM
2019 03 29 23 36,MM,MM,MM,MM,MM,MM,MM,1015.2,22.9,25.1,MM,MM,MM,MM
2019 03 29 23 42,MM,MM,MM,MM,MM,MM,MM,1015.1,22.9,25.1,MM,MM,MM,MM
2019 03 29 23 48,MM,MM,MM,MM,MM,MM,MM,1015.1,22.9,25.1,MM,MM,MM,MM
2019 03 29 23 54,MM,MM,MM,MM,MM,MM,MM,1015,22.8,25.1,MM,MM,MM,MM
2019 03 30 00 00,MM,MM,MM,MM,MM,MM,MM,1015,22.8,25.1,MM,MM,-2,MM
2019 03 30 00 06,MM,MM,MM,MM,MM,MM,MM,1015,22.6,25.1,MM,MM,MM,MM
