#YY	MM	DD	hh	mm	WDIR	WSPD	GST	WVHT	DPD	APD	MWD	PRES	ATMP	WTMP	DEWP	VIS	PTDY	TIDE	Num
2019	5	1	12	6	30	5.1	7.2	MM	MM	MM	MM	1017.7	22.9	26.2	MM	MM	MM	MM	8705
2019	5	1	12	12	40	7.2	8.2	MM	MM	MM	MM	1017.7	22.9	26.2	MM	MM	MM	MM	8704
2019	5	1	12	18	50	6.7	7.7	MM	MM	MM	MM	1017.8	22.5	26.2	MM	MM	MM	MM	8703
2019	5	1	12	24	50	6.2	7.7	MM	MM	MM	MM	1017.8	22	26.2	MM	MM	MM	MM	8702
2019	5	1	12	30	50	6.7	8.2	MM	MM	MM	MM	1017.7	21.9	26.2	MM	MM	MM	MM	8701
2019	5	1	12	36	40	5.7	7.2	MM	MM	MM	MM	1017.7	21.7	26.2	MM	MM	MM	MM	8700
2019	5	1	12	42	50	6.2	6.7	MM	MM	MM	MM	1017.7	21.7	26.2	MM	MM	MM	MM	8699
2019	5	1	12	48	50	5.7	6.7	MM	MM	MM	MM	1017.6	21.8	26.2	MM	MM	MM	MM	8698
2019	5	1	12	54	50	4.6	6.7	MM	MM	MM	MM	1017.6	21.2	26.2	MM	MM	MM	MM	8697
2019	5	1	13	0	40	2.6	5.1	MM	MM	MM	MM	1017.5	21.4	26.2	MM	MM	-1.4	MM	8696
2019	5	1	13	6	350	2.1	3.6	MM	MM	MM	MM	1017.4	21.4	26.2	MM	MM	MM	MM	8695
2019	5	1	13	12	330	1.5	2.1	MM	MM	MM	MM	1017.4	21.2	26.2	MM	MM	MM	MM	8694
2019	5	1	13	18	340	2.6	2.6	MM	MM	MM	MM	1017.3	21.8	26.2	MM	MM	MM	MM	8693
2019	5	1	13	24	320	2.1	3.1	MM	MM	MM	MM	1017.3	21.4	26.1	MM	MM	MM	MM	8692
2019	5	1	13	30	290	2.1	3.1	MM	MM	MM	MM	1017.2	21.5	26.1	MM	MM	MM	MM	8691
2019	5	1	13	36	290	2.1	2.6	MM	MM	MM	MM	1017.3	21.5	26.1	MM	MM	MM	MM	8690
2019	5	1	13	42	280	1	2.6	MM	MM	MM	MM	1017.2	21.6	26.1	MM	MM	MM	MM	8689
2019	5	1	13	48	260	1.5	2.6	MM	MM	MM	MM	1017.2	21.4	26.1	MM	MM	MM	MM	8688
2019	5	1	13	54	260	1	2.1	MM	MM	MM	MM	1017.2	21.3	26.1	MM	MM	MM	MM	8687
2019	5	1	14	0	250	1	2.1	MM	MM	MM	MM	1017.2	21.2	26.1	MM	MM	-1.1	MM	8686
2019	5	1	14	6	250	0.5	2.1	MM	MM	MM	MM	1017.1	21.2	26.1	MM	MM	MM	MM	8685
2019	5	1	14	12	270	1	2.1	MM	MM	MM	MM	1017.2	21	26.1	MM	MM	MM	MM	8684
2019	5	1	14	18	210	1	2.6	MM	MM	MM	MM	1017.1	21.2	26.1	MM	MM	MM	MM	8683
2019	5	1	14	24	250	0.5	1.5	MM	MM	MM	MM	1017.1	21.3	26.1	MM	MM	MM	MM	8682
2019	5	1	14	30	300	1	1.5	MM	MM	MM	MM	1017.1	21.4	26.1	MM	MM	MM	MM	8681
2019	5	1	14	36	290	1	2.1	MM	MM	MM	MM	1017.1	21.5	26.1	MM	MM	MM	MM	8680
2019	5	1	14	42	290	1.5	2.1	MM	MM	MM	MM	1017	21.4	26.1	MM	MM	MM	MM	8679
2019	5	1	14	48	280	1.5	3.1	MM	MM	MM	MM	1017	21.4	26.1	MM	MM	MM	MM	8678
2019	5	1	14	54	290	1.5	2.1	MM	MM	MM	MM	1017.1	21.3	26.1	MM	MM	MM	MM	8677
2019	5	1	15	0	320	0.5	2.6	MM	MM	MM	MM	1017.2	21.6	26.1	MM	MM	-0.5	MM	8676
2019	5	1	15	6	310	2.1	2.6	MM	MM	MM	MM	1017.2	21.7	26.1	MM	MM	MM	MM	8675
2019	5	1	15	12	300	2.1	2.6	MM	MM	MM	MM	1017.2	21.9	26.1	MM	MM	MM	MM	8674
2019	5	1	15	18	300	2.1	3.1	MM	MM	MM	MM	1017.3	22	26.1	MM	MM	MM	MM	8673
2019	5	1	15	24	310	2.1	3.1	MM	MM	MM	MM	1017.3	22.1	26.1	MM	MM	MM	MM	8672
2019	5	1	15	30	320	1.5	2.6	MM	MM	MM	MM	1017.3	22.4	26.1	MM	MM	MM	MM	8671
2019	5	1	15	36	310	1.5	3.1	MM	MM	MM	MM	1017.3	22.3	26.1	MM	MM	MM	MM	8670
2019	5	1	15	42	20	2.1	4.1	MM	MM	MM	MM	1017.3	22.6	26.1	MM	MM	MM	MM	8669
2019	5	1	15	48	60	2.1	3.6	MM	MM	MM	MM	1017.3	22.7	26.1	MM	MM	MM	MM	8668
2019	5	1	15	54	40	4.1	5.1	MM	MM	MM	MM	1017.3	23.1	26.1	MM	MM	MM	MM	8667
2019	5	1	16	0	40	5.1	5.7	MM	MM	MM	MM	1017.4	23.1	26	MM	MM	0	MM	8666
2019	5	1	16	6	50	5.7	6.2	MM	MM	MM	MM	1017.4	22.9	26	MM	MM	MM	MM	8665
2019	5	1	16	12	40	5.1	5.7	MM	MM	MM	MM	1017.5	22.7	26	MM	MM	MM	MM	8664
2019	5	1	16	18	50	4.6	6.2	MM	MM	MM	MM	1017.6	22.6	26	MM	MM	MM	MM	8663
2019	5	1	16	24	50	3.6	5.1	MM	MM	MM	MM	1017.7	22.8	26	MM	MM	MM	MM	8662
2019	5	1	16	30	50	3.6	4.1	MM	MM	MM	MM	1017.7	22.9	26	MM	MM	MM	MM	8661
2019	5	1	16	36	60	3.1	4.1	MM	MM	MM	MM	1017.8	23	26	MM	MM	MM	MM	8660
2019	5	1	16	42	30	3.1	4.1	MM	MM	MM	MM	1017.8	23.2	26	MM	MM	MM	MM	8659
2019	5	1	16	48	30	2.6	3.6	MM	MM	MM	MM	1017.8	23.2	26	MM	MM	MM	MM	8658
2019	5	1	16	54	30	2.1	3.6	MM	MM	MM	MM	1017.8	23	26	MM	MM	MM	MM	8657
2019	5	1	17	0	30	2.1	3.1	MM	MM	MM	MM	1017.8	23	26	MM	MM	0.6	MM	8656
2019	5	1	17	6	30	3.1	3.1	MM	MM	MM	MM	1017.9	23.1	26	MM	MM	MM	MM	8655
2019	5	1	17	12	40	3.1	3.6	MM	MM	MM	MM	1017.9	23.1	26	MM	MM	MM	MM	8654
2019	5	1	17	18	40	5.1	6.2	MM	MM	MM	MM	1018	22.4	26	MM	MM	MM	MM	8653
2019	5	1	17	24	50	2.1	4.6	MM	MM	MM	MM	1017.9	22.7	26	MM	MM	MM	MM	8652
2019	5	1	17	30	50	2.6	3.1	MM	MM	MM	MM	1018	22.6	26	MM	MM	MM	MM	8651
2019	5	1	17	36	30	2.1	3.1	MM	MM	MM	MM	1018.1	22.6	26	MM	MM	MM	MM	8650
2019	5	1	17	42	30	2.6	4.1	MM	MM	MM	MM	1018.1	23	26	MM	MM	MM	MM	8649
2019	5	1	17	48	50	5.7	7.2	MM	MM	MM	MM	1018.1	23.4	26	MM	MM	MM	MM	8648
2019	5	1	17	54	70	9.3 1	0.8	MM	MM	MM	MM	1018.2	22.9	26	MM	MM	MM	MM	8647
2019	5	1	18	0	70	4.1	9.3	MM	MM	MM	MM	1018.2	22.4	26	MM	MM	1	MM	8646
2019	5	1	18	6	70	3.1	4.1	MM	MM	MM	MM	1018.2	22.9	26	MM	MM	MM	MM	8645
2019	5	1	18	12	60	4.6	6.2	MM	MM	MM	MM	1018.2	23	26	MM	MM	MM	MM	8644
2019	5	1	18	18	70	4.1	5.7	MM	MM	MM	MM	1018.2	23.8	26	MM	MM	MM	MM	8643
2019	5	1	18	24	70	3.1	5.1	MM	MM	MM	MM	1018.3	24.1	26	MM	MM	MM	MM	8642
2019	5	1	18	30	60	4.1	5.7	MM	MM	MM	MM	1018.3	24.3	26	MM	MM	MM	MM	8641
2019	5	1	18	36	50	4.6	6.2	MM	MM	MM	MM	1018.3	24.3	25.9	MM	MM	MM	MM	8640
2019	5	1	18	42	60	5.1	6.2	MM	MM	MM	MM	1018.3	24.3	25.9	MM	MM	MM	MM	8639
2019	5	1	18	48	50	5.1	6.7	MM	MM	MM	MM	1018.3	24.2	25.9	MM	MM	MM	MM	8638
2019	5	1	18	54	70	4.6	6.7	MM	MM	MM	MM	1018.3	24.1	26	MM	MM	MM	MM	8637
2019	5	1	19	0	70	5.1	6.2	MM	MM	MM	MM	1018.4	24	25.9	MM	MM	1	MM	8636
2019	5	1	19	6	60	5.7	6.7	MM	MM	MM	MM	1018.3	24.1	26	MM	MM	MM	MM	8635
2019	5	1	19	12	60	5.1	6.7	MM	MM	MM	MM	1018.2	24.1	26	MM	MM	MM	MM	8634
2019	5	1	19	18	60	4.6	7.2	MM	MM	MM	MM	1018.3	24.2	26	MM	MM	MM	MM	8633
2019	5	1	19	24	100	2.6	6.2	MM	MM	MM	MM	1018.4	24.3	25.9	MM	MM	MM	MM	8632
2019	5	1	19	30	110	3.6	6.7	MM	MM	MM	MM	1018.4	24.1	25.9	MM	MM	MM	MM	8631
2019	5	1	19	36	110	6.2	9.8	MM	MM	MM	MM	1018.5	24	26	MM	MM	MM	MM	8630
2019	5	1	19	42	90	3.1	8.8	MM	MM	MM	MM	1018.6	23.4	26	MM	MM	MM	MM	8629
2019	5	1	19	48	100	2.1	4.6	MM	MM	MM	MM	1018.6	23.5	26	MM	MM	MM	MM	8628
2019	5	1	19	54	100	1	4.6	MM	MM	MM	MM	1018.6	23.8	26	MM	MM	MM	MM	8627
2019	5	1	20	0	110	1.5	3.1	MM	MM	MM	MM	1018.5	23.9	26	MM	MM	0.7	MM	8626
2019	5	1	20	6	70	4.6	6.2	MM	MM	MM	MM	1018.5	23.8	26	MM	MM	MM	MM	8625
2019	5	1	20	12	70	5.7	6.7	MM	MM	MM	MM	1018.6	24.1	26	MM	MM	MM	MM	8624
2019	5	1	20	18	60	5.1	6.7	MM	MM	MM	MM	1018.5	24.2	26	MM	MM	MM	MM	8623
2019	5	1	20	24	60	6.7	8.2	MM	MM	MM	MM	1018.6	23.8	26	MM	MM	MM	MM	8622
2019	5	1	20	30	90	2.1	9.8	MM	MM	MM	MM	1018.6	23.1	26	MM	MM	MM	MM	8621
2019	5	1	20	36	100	1.5	3.6	MM	MM	MM	MM	1018.6	23.5	26	MM	MM	MM	MM	8620
2019	5	1	20	42	80	2.6	5.1	MM	MM	MM	MM	1018.5	23.8	26	MM	MM	MM	MM	8619
2019	5	1	20	48	70	6.2	7.2	MM	MM	MM	MM	1018.4	23.7	26	MM	MM	MM	MM	8618
2019	5	1	20	54	80	4.6	7.2	MM	MM	MM	MM	1018.5	23.5	26.1	MM	MM	MM	MM	8617
2019	5	1	21	0	80	2.1	5.7	MM	MM	MM	MM	1018.4	22.8	26.1	MM	MM	0	MM	8616
2019	5	1	21	6	90	1	2.6	MM	MM	MM	MM	1018.4	23.1	26.1	MM	MM	MM	MM	8615
2019	5	1	21	12	90	2.6	4.1	MM	MM	MM	MM	1018.4	23.6	26.1	MM	MM	MM	MM	8614
2019	5	1	21	18	90	2.6	5.1	MM	MM	MM	MM	1018.3	23.6	26.1	MM	MM	MM	MM	8613
2019	5	1	21	24	70	5.1	6.2	MM	MM	MM	MM	1018.3	24	26.1	MM	MM	MM	MM	8612
2019	5	1	21	30	70	5.7	7.2	MM	MM	MM	MM	1018.3	24.1	26.1	MM	MM	MM	MM	8611
2019	5	1	21	36	60	5.7	6.7	MM	MM	MM	MM	1018.3	24.5	26.1	MM	MM	MM	MM	8610
2019	5	1	21	42	60	5.7	6.7	MM	MM	MM	MM	1018.2	24.4	26.1	MM	MM	MM	MM	8609
2019	5	1	21	48	60	5.1	6.7	MM	MM	MM	MM	1018.2	24.3	26.1	MM	MM	MM	MM	8608
2019	5	1	21	54	60	5.1	7.2	MM	MM	MM	MM	1018.2	24.6	26.1	MM	MM	MM	MM	8607
2019	5	1	22	0	60	5.1	6.7	MM	MM	MM	MM	1018.1	24.5	26.1	MM	MM	-0.3	MM	8606
2019	5	1	22	6	50	5.1	7.2	MM	MM	MM	MM	1018.2	24.3	26.2	MM	MM	MM	MM	8605
2019	5	1	22	12	50	4.6	6.7	MM	MM	MM	MM	1018.2	24.6	26.2	MM	MM	MM	MM	8604
2019	5	1	22	18	40	5.1	6.7	MM	MM	MM	MM	1018.1	24.3	26.2	MM	MM	MM	MM	8603
2019	5	1	22	24	40	4.6	6.7	MM	MM	MM	MM	1018.1	24.5	26.2	MM	MM	MM	MM	8602
2019	5	1	22	30	50	4.1	6.7	MM	MM	MM	MM	1018.1	24.7	26.2	MM	MM	MM	MM	8601
2019	5	1	22	36	50	4.6	7.2	MM	MM	MM	MM	1018	24.9	26.2	MM	MM	MM	MM	8600
2019	5	1	22	42	50	4.6	7.2	MM	MM	MM	MM	1017.9	24.8	26.2	MM	MM	MM	MM	8599
2019	5	1	22	48	60	4.1	6.2	MM	MM	MM	MM	1017.8	24.7	26.2	MM	MM	MM	MM	8598
2019	5	1	22	54	60	4.6	7.2	MM	MM	MM	MM	1017.8	25.2	26.2	MM	MM	MM	MM	8597
2019	5	1	23	0	60	4.6	6.2	MM	MM	MM	MM	1017.8	24.8	26.2	MM	MM	-0.7	MM	8596
2019	5	1	23	6	60	4.1	6.2	MM	MM	MM	MM	1017.7	24.9	26.2	MM	MM	MM	MM	8595
