,V2,V3
397,5/14/19 13:30,27.53
398,5/14/19 13:45,27.456
399,5/14/19 14:00,27.53
400,5/14/19 14:15,27.554
401,5/14/19 14:30,27.604
402,5/14/19 14:45,27.628
403,5/14/19 15:00,27.604
404,5/14/19 15:15,27.653
405,5/14/19 15:30,27.677
406,5/14/19 15:45,27.677
407,5/14/19 16:00,27.653
408,5/14/19 16:15,27.628
409,5/14/19 16:30,27.628
410,5/14/19 16:45,27.579
411,5/14/19 17:00,27.554
412,5/14/19 17:15,27.554
413,5/14/19 17:30,27.554
414,5/14/19 17:45,27.628
415,5/14/19 18:00,27.702
416,5/14/19 18:15,27.751
417,5/14/19 18:30,27.801
418,5/14/19 18:45,27.776
419,5/14/19 19:00,27.801
420,5/14/19 19:15,27.751
421,5/14/19 19:30,27.776
422,5/14/19 19:45,27.751
423,5/14/19 20:00,27.702
424,5/14/19 20:15,27.653
425,5/14/19 20:30,27.604
426,5/14/19 20:45,27.579
427,5/14/19 21:00,27.554
428,5/14/19 21:15,27.53
429,5/14/19 21:30,27.53
430,5/14/19 21:45,27.53
431,5/14/19 22:00,27.505
432,5/14/19 22:15,27.481
433,5/14/19 22:30,27.481
434,5/14/19 22:45,27.481
435,5/14/19 23:00,27.431
436,5/14/19 23:15,27.407
437,5/14/19 23:30,27.407
438,5/14/19 23:45,27.407
439,5/15/19 0:00,27.382
440,5/15/19 0:15,27.382
441,5/15/19 0:30,27.358
442,5/15/19 0:45,27.382
443,5/15/19 1:00,27.333
444,5/15/19 1:15,27.333
445,5/15/19 1:30,27.358
446,5/15/19 1:45,27.358
447,5/15/19 2:00,27.358
448,5/15/19 2:15,27.358
449,5/15/19 2:30,27.333
450,5/15/19 2:45,27.333
451,5/15/19 3:00,27.308
452,5/15/19 3:15,27.333
453,5/15/19 3:30,27.308
454,5/15/19 3:45,27.284
455,5/15/19 4:00,27.259
456,5/15/19 4:15,27.235
457,5/15/19 4:30,27.235
458,5/15/19 4:45,27.21
459,5/15/19 5:00,27.186
460,5/15/19 5:15,27.136
461,5/15/19 5:30,27.136
462,5/15/19 5:45,27.112
463,5/15/19 6:00,27.112
464,5/15/19 6:15,27.087
465,5/15/19 6:30,27.087
466,5/15/19 6:45,27.087
467,5/15/19 7:00,27.087
468,5/15/19 7:15,27.063
469,5/15/19 7:30,27.087
470,5/15/19 7:45,27.087
471,5/15/19 8:00,27.063
472,5/15/19 8:15,27.063
473,5/15/19 8:30,27.038
474,5/15/19 8:45,27.063
475,5/15/19 9:00,27.112
476,5/15/19 9:15,27.161
477,5/15/19 9:30,27.235
478,5/15/19 9:45,27.259
479,5/15/19 10:00,27.259
480,5/15/19 10:15,27.259
481,5/15/19 10:30,27.284
482,5/15/19 10:45,27.284
483,5/15/19 11:00,27.308
484,5/15/19 11:15,27.308
